,mae,rmse,mape
bear_market_1,1262.4359518197612,1430.340302730779,33.34444046020508
bear_market_2,1261.8397082253475,1476.1422747509052,6.599982261657715
bull_market_1,1204.569286395504,1840.660111700468,13.012322425842285
bull_market_2,5440.3851711209545,6191.702997842333,11.245238304138184
