,accuracy,f1_score,precision,recall
bear_market_1,0.44117647058823534,0.5023249347866477,0.36729901047590996,0.8166666666666668
bear_market_2,0.586111111111111,0.5383240605251991,0.5639364720247073,0.5235294117647058
bull_market_1,0.519811320754717,0.6022181536728707,0.6028560015251541,0.6078125
bull_market_2,0.5285714285714286,0.5093377344151244,0.5370088561154766,0.4886792452830188
