,mae,rmse,mape
bear_market_1,1072.006662123713,1193.5205343049734,27.883398056030273
bear_market_2,634.8837240100693,897.4889334992197,3.497088670730591
bull_market_1,324.0423480126327,586.0374778153916,4.090741157531738
bull_market_2,2139.702261959523,2602.4852596475453,4.199704170227051
