Date,Open,High,Low,Close,Volume,RSI,ATR,MACD,MFI,EMA,SMA,OBV,GTrends_Interest,Sentiment_Bullish,Price_oil,Price_gold,Price_NASDAQ,Price_SP500,Price_NYSE,Interest_Rate,hash_rate,users
2014-10-31,345.009003,348.045013,337.141998,338.321014,12545400,36.53849138241761,17.134663594176807,-12.367111404851071,44.18595380314908,357.13053455290304,363.0019290714285,-70760482.0,1.77,54.19509172439575,80.54,1171.6,4630.74,2018.05,10845.0,0.09,286216.940859487,175024.5
2014-11-01,338.649994,340.528992,321.054993,325.748993,16677200,33.11804182413343,17.301758980307035,-13.762845196329692,37.900471324652855,352.94632901251595,358.30957242857136,-87437682.0,1.77,62.33994960784912,80.54,1171.6,4630.74,2018.05,10845.0,0.09,286216.940859487,175024.5
2014-11-02,326.075012,329.049988,320.626007,325.891998,8603620,33.19464991337519,16.667631981713672,-14.688119475165308,34.72353112218165,349.3390848775138,353.7628587142857,-78834062.0,1.89,49.09951537847519,80.54,1171.6,4630.74,2018.05,10845.0,0.09,293411.0627537985,174335.75
2014-11-03,325.569,334.002014,325.480988,327.553986,12948500,34.13883342945081,16.085731554448408,-15.113083249464808,41.224981063131146,346.4344050271786,349.8135005,-65885562.0,1.98,55.61720252037048,78.78,1169.8,4638.91,2017.81,10808.669922,0.09,300605.18464811,173647.0
2014-11-04,327.161011,331.766998,325.076996,330.492004,15655500,35.86449234047882,15.41460801484495,-15.039431400275362,40.967179355417265,344.3087515568881,345.81471464285715,-50230062.0,1.95,25.086472742259502,77.19,1167.7,4623.64,2012.1,10758.070313,0.09,307799.3065424215,171174.75
2014-11-05,330.683014,343.368988,330.683014,339.485992,19817200,40.96396487371787,15.233349156641738,-14.09286830019505,48.35710213406346,343.66571694930303,342.6952862142857,-30412862.0,1.98,48.38568717241287,78.68,1145.7,4620.72,2023.57,10824.070313,0.09,314993.428436733,168702.5
2014-11-06,339.458008,352.966003,338.424011,349.290009,18797000,46.00390639133878,15.1839665025959,-12.408569719787977,59.08297073827802,344.4156225560626,342.04335885714283,-11615862.0,2.25,25.96448428928852,77.91,1142.6,4638.47,2031.21,10843.540039,0.09,304657.70656615274,166230.25
2014-11-07,349.817993,352.731995,341.776001,342.415009,16834200,43.2176396631088,14.88196846669619,-11.49598741639454,58.903780243787175,344.1488740819209,340.9055022857143,-28450062.0,2.16,47.165291756391525,78.65,1169.8,4632.53,2031.92,10864.580078,0.09,294321.9846955725,163758.0
2014-11-08,342.153992,347.032013,342.153992,345.488007,8535470,44.826191998577855,14.167400790503605,-10.404853436056214,61.68778981519488,344.32742513766476,340.77814592857146,-19914592.0,1.95,11.02222404209897,78.65,1169.8,4632.53,2031.92,10864.580078,0.09,283986.2628249923,165384.25
2014-11-09,345.376007,363.626007,344.255005,363.264008,24205600,53.10235864773648,14.539086591181922,-8.013373987801913,64.02167324257006,346.85230285264277,341.38957435714286,4291008.0,2.13,4.706397466361523,78.65,1169.8,4632.53,2031.92,10864.580078,0.09,273650.540954412,167010.5
2014-11-10,362.265015,374.81601,357.561005,366.924011,30450100,54.61198516114392,14.733080763240356,-5.756421200847058,66.85372325846285,349.52853060562376,342.3849312857143,34741108.0,2.22,34.70895290374756,77.4,1159.8,4651.62,2038.26,10892.55957,0.09,277095.78157793876,168636.75
2014-11-11,365.856995,371.309998,363.734985,367.695007,15838900,54.94103004312392,14.221790208723188,-3.8610491517986816,68.01623583337674,351.95072745820727,343.10471671428576,50580008.0,2.34,46.90493270754814,77.94,1163.0,4660.56,2039.68,10907.530273,0.09,280541.0222014655,170263.0
2014-11-12,367.984985,429.717987,367.984985,423.561005,45783200,71.22138719416277,17.636160908100106,2.1244763584448947,78.36637875463465,361.4987644637797,349.38828828571434,96363208.0,2.67,45.94364752992987,77.18,1159.1,4675.13,2038.25,10884.030273,0.09,283986.26282499224,165352.5
2014-11-13,427.27301,457.092987,401.122986,420.734985,58945000,69.84658505631714,20.374292343235812,6.564342597428379,81.18258568483319,369.3969272019424,354.7761448571429,37418208.0,2.76,62.08321809768677,74.21,1161.5,4680.14,2039.33,10868.919922,0.09,287431.503448519,160442.0
2014-11-14,418.416992,419.252014,384.789001,397.817993,29589200,59.77066081773322,21.486556033004685,8.139926840535907,76.097692166633,373.1864026416834,359.0259290714286,7829008.0,2.19,38.33384414513906,75.82,1185.6,4688.54,2039.82,10880.629883,0.09,290384.5668401135,155531.5
2014-11-15,399.649994,405.528015,371.007996,376.132996,15727500,52.11029231456599,22.417517673504353,7.551738930257955,75.7505042794031,373.5792817561256,362.6247864285715,-7898492.0,2.1,42.94349451859792,75.82,1185.6,4688.54,2039.82,10880.629883,0.09,293337.630231708,150621.0
2014-11-16,374.730011,390.799011,374.60199,387.881989,11905600,55.44233096131877,21.973196482539755,7.9420898503505555,78.37046833322657,375.4863093886422,367.0526429285715,4007108.0,2.04,45.491260290145874,75.82,1185.6,4688.54,2039.82,10880.629883,0.09,296290.6936233025,156088.5
2014-11-17,388.348999,410.199005,377.502014,387.40799,41518800,55.27523731995972,22.739181805215487,8.119600310818043,80.28989283023627,377.07586680348993,371.3279289285715,-37511692.0,2.16,42.24020061748369,75.64,1183.5,4671.0,2041.32,10883.25,0.09,299243.757014897,161556.0
2014-11-18,387.785004,392.402008,371.117004,375.197998,32222500,51.010424115931045,22.635311961985813,7.192127944394372,72.67714999862595,376.8254842963579,374.5212142142858,-69734192.0,2.4,52.3759087813752,74.61,1197.1,4702.44,2051.8,10941.700195,0.09,286535.9043453065,167023.5
2014-11-19,373.895996,386.480988,373.895996,380.554993,18931800,52.73353439036943,21.917431964701112,6.810852865921163,72.77371025293392,377.3227521235102,377.4547142857144,-50802392.0,1.98,62.51161694526672,74.58,1193.9,4675.71,2048.72,10927.480469,0.09,273828.051675716,172491.0
2014-11-20,380.307007,382.024994,356.781006,357.839996,25233200,45.43586305196474,22.155043110079607,4.62249396551141,66.94182774608089,374.7250513070422,378.0654276428572,-76035592.0,2.1,52.63330642566351,75.58,1190.9,4701.87,2052.75,10937.969727,0.09,261120.1990061255,185305.25
2014-11-21,357.878998,357.878998,344.112,350.847992,29850100,43.44294102866576,21.55589703078821,2.297523066723045,64.86619769739399,371.54144339943656,378.6677835714286,-105885692.0,1.89,53.55181097984314,76.51,1197.7,4712.97,2063.5,11025.740234,0.09,248412.346336535,198119.5
2014-11-22,351.604004,364.841003,350.877991,352.920013,15273000,44.2237025011333,21.015690885731907,0.615071495686891,67.36851510543391,369.058586012845,379.1986411428571,-90612692.0,1.83,25.1588333863765,76.51,1197.7,4712.97,2063.5,11025.740234,0.09,250415.67171021676,210933.75
2014-11-23,353.174988,370.845001,353.174988,367.572998,15151600,49.52988836110442,20.794926393893917,0.4588011594541399,66.68575909777641,368.86050761113233,379.5064261428571,-75461092.0,1.83,16.03195781353861,76.51,1197.7,4712.97,2063.5,11025.740234,0.09,252418.99708389852,223748.0
2014-11-24,366.947998,387.209015,366.669006,376.901001,30930100,52.62000613256625,20.776718008615777,1.0752528315287009,66.79685090390176,369.9325733963147,380.2190682857143,-44530992.0,2.01,40.486360527575016,75.78,1195.7,4754.89,2069.41,11041.419922,0.09,254422.32245758025,213151.75
2014-11-25,376.885986,394.700989,374.783997,375.347992,25442200,52.04863266425181,20.715309008000364,1.4220874369258354,67.63514206372349,370.6546292101394,380.76571007142854,-69973192.0,1.98,17.77062334585935,74.09,1197.1,4758.25,2067.03,11029.370117,0.09,256425.647831262,202555.5
2014-11-26,376.019012,377.697998,365.81601,368.369995,18601700,49.45038615630624,20.08435750742891,1.1209684931552033,60.11461720243817,370.35001131545414,376.82349507142857,-88574892.0,1.74,34.22658218070865,73.69,1196.6,4787.32,2072.83,11047.910156,0.09,267944.768729932,191959.25
2014-11-27,370.502014,373.992004,368.282013,369.670013,8748030,49.95164735121544,19.057617042612556,0.975979662643681,52.859563709185366,370.2593448733936,373.1759970714285,-79826862.0,2.01,40.33588841557503,68.55,1175.5,4787.32,2072.83,11047.910156,0.09,279463.889628602,181363.0
2014-11-28,369.373993,382.838013,358.454987,376.446991,22946500,52.59089068081791,19.438003396711657,1.3918757793352938,61.65821188150652,371.0843643569411,371.6494969285714,-56880362.0,1.77,33.4696214646101,66.15,1175.5,4791.63,2067.56,10955.410156,0.09,290983.010527272,181443.25
2014-11-29,376.152008,387.601013,372.144989,375.490997,15375600,52.172926926899024,19.15357629694654,1.6255968533320129,66.75837023513027,371.6719153760156,371.6036398571428,-72255962.0,1.74,17.078958451747894,66.15,1175.5,4791.63,2067.56,10955.410156,0.09,302502.131425942,181523.5
2014-11-30,375.51001,382.527008,373.30899,378.046997,9194440,53.242883573903875,18.44389356145036,1.9940837705279364,63.43809399468865,372.5219262592135,370.90114042857147,-63061522.0,1.83,22.68949953839183,66.15,1175.5,4791.63,2067.56,10955.410156,0.09,287477.191123329,181603.75
2014-12-01,378.248993,383.661987,376.669006,379.244995,11763000,53.76497124352439,17.625971235632473,2.3556265373278507,59.28754808687062,373.4183354246518,370.3180693571429,-51298522.0,1.89,51.727838441729546,69.0,1218.1,4727.35,2053.44,10888.55957,0.12,272452.250820716,181684.0
2014-12-02,379.25,384.037994,377.863007,381.315002,12364100,54.70607196587598,16.808043790230155,2.777170556475028,68.80147175995207,374.4712243013648,370.7549982142858,-38934422.0,2.1,44.537217007018626,66.88,1199.4,4755.81,2066.55,10940.120117,0.12,257427.310518103,184812.0
2014-12-03,381.721985,383.026001,374.346008,375.01001,13340100,51.28211489292441,16.227468733785145,2.5728290950493147,62.74017322580855,374.5430623945162,370.3589280000001,-52274522.0,2.01,44.132535979151726,67.38,1208.7,4774.47,2074.33,10987.299805,0.12,242402.37021549,187940.0
