,mae,rmse,mape
bear_market_1,244.56907529636948,296.9955714485583,5.706033229827881
bear_market_2,817.1067790199652,1040.2496382299817,4.402468204498291
bull_market_1,486.3372509961822,762.3002251969867,6.220275402069092
bull_market_2,1943.9968043554763,2381.5282996913547,3.8270912170410156
