Date,Open,High,Low,Close,Volume,RSI,ATR,MACD,MFI,EMA,SMA,OBV,GTrends_Interest,Sentiment_Bullish,Price_oil,Price_gold,Price_NASDAQ,Price_SP500,Price_NYSE,Interest_Rate,hash_rate,users,Target
2018-12-15,3243.997559,3275.37793,3191.303467,3236.761719,3551763561,27.168331061057245,227.56695556344215,-459.3031563998493,28.775688408914853,3582.801481985362,3570.2431292142805,140452532463.0,6.37,15.205857132761071,51.2,1241.4,6910.66,2599.95,11755.379883,2.27,39676558.59630345,383108.5,1
2018-12-16,3236.274658,3305.753174,3233.819824,3252.839111,3744248994,27.850529373623843,216.45026945176772,-446.705327221604,25.89162324888173,3538.806499187314,3506.8832135714233,144196781457.0,5.98,39.2439025711307,51.2,1241.4,6910.66,2599.95,11755.379883,2.27,38373215.5395596,364388.0,1
2018-12-17,3253.123047,3597.917969,3253.123047,3545.864746,5409247918,39.05525750813912,225.63802577664143,-408.3693098059234,33.83848178695404,3539.747598762339,3482.0070626428524,149606029375.0,7.54,25.26942127957591,49.88,1251.8,6753.73,2545.94,11532.120117,2.27,37069872.48281575,392142.5,1
2018-12-18,3544.761475,3701.349365,3487.169189,3696.059082,5911325473,43.86717015166109,224.81960793545275,-361.69887266479554,42.47902437712453,3560.589129860694,3463.3760114285665,155517354848.0,7.41,28.987852946662123,46.24,1253.6,6783.91,2546.16,11502.160156,2.27,35766529.4260719,419897.0,1
2018-12-19,3706.824951,3949.322998,3687.22998,3745.950684,6810689119,45.40908516704532,227.4819943686347,-317.03183403098,51.96034462430599,3585.3040037459346,3462.801426499995,162328043967.0,8.06,31.4528732918776,47.2,1256.4,6636.83,2506.96,11371.839844,2.27,37930469.71326888,447651.5,1
2018-12-20,3742.195068,4191.228516,3728.974609,4134.441406,8927129279,55.62963743741711,244.25141669944657,-247.4326796821956,62.77424961916648,3658.522324046477,3506.611397857138,171255173246.0,8.19,36.6962391337438,45.88,1267.9,6528.41,2467.42,11222.790039,2.27,40094410.00046585,475406.0,0
2018-12-21,4133.703613,4198.429688,3850.946289,3896.543701,7206015706,49.51607329714376,251.62512972091463,-209.06127676298092,61.50169992120112,3690.25850764028,3540.6547153571382,164049157540.0,7.0200000000000005,28.252552391253023,45.59,1258.1,6332.99,2416.62,11036.839844,2.27,42258350.28766282,461485.75,1
2018-12-22,3898.08374,4014.182617,3855.739014,4014.182617,5605823233,52.307242239370346,244.96930638370645,-167.23144611387534,53.88032342321074,3733.4483888882423,3579.0881347142813,169654980773.0,5.98,19.945918366283877,45.59,1258.1,6332.99,2416.62,11036.839844,2.27,44422290.5748598,447565.5,0
2018-12-23,4020.994629,4085.723633,3976.405762,3998.980225,6151275490,51.90783903768727,235.27991814201317,-133.76574173507333,55.03494529625576,3768.852633703143,3606.5699811428526,163503705283.0,6.11,24.82663449417386,45.59,1258.1,6332.99,2416.62,11036.839844,2.27,43280003.10293485,433645.25,1
2018-12-24,4000.331787,4271.79248,4000.331787,4078.599121,7240968501,53.89348108199486,237.96079934615508,-99.67041193703652,63.01634447005547,3810.152165342725,3647.708775071424,170744673784.0,6.63,27.248581605298178,42.53,1271.8,6192.92,2351.1,10769.830078,2.27,42137715.6310099,419725.0,0
