Date,Open,High,Low,Close,Volume,RSI,ATR,MACD,MFI,EMA,SMA,OBV,GTrends_Interest,Sentiment_Bullish,Price_oil,Price_gold,Price_NASDAQ,Price_SP500,Price_NYSE,Interest_Rate,hash_rate,users,Target
2017-12-17,19475.800781,20089.0,18974.099609,19140.800781,13314599936,75.06172212439807,1486.5567624231487,2548.6037760147883,60.25807326810819,16152.04530466726,16188.400181428577,180674531784.0,46.0,38.2324350075578,57.3,1257.5,6936.58,2675.81,12699.679688,1.3,13200471.3102448,877465.0,0
2017-12-18,19106.400391,19371.0,18355.900391,19114.199219,14839499776,74.87164304614217,1452.8812514643523,2561.8629560775953,54.16566010323448,16546.999159911626,16721.04296885715,165835032008.0,47.0,24.583355503273197,57.16,1265.5,6994.76,2690.16,12785.820313,1.3,13118116.1303804,868283.75,0
2017-12-19,19118.300781,19177.800781,17275.400391,17776.699219,16894499840,65.84347064896772,1484.9897613597557,2436.361026427914,48.30773196562735,16710.959167790075,17139.61432771429,148940532168.0,52.0,29.88400522282224,57.46,1264.2,6963.85,2681.47,12747.540039,1.3,13035760.950516,859102.5,0
2017-12-20,17760.300781,17934.699219,16077.700195,16624.599609,22149699584,59.219366401796606,1511.5618515483443,2218.3631237516347,40.96679654739802,16699.4445599514,17306.26429978572,126790832584.0,69.0,32.25699264009389,58.09,1269.6,6960.96,2679.25,12747.549805,1.3,13012482.8059615,849921.25,0
2017-12-21,16642.400391,17567.699219,15342.700195,15802.900391,16516599808,54.971602510802,1562.5216495806053,1956.7378991505411,33.10107902782491,16579.905337424545,17156.492954928577,110274232776.0,52.0,37.84423612761946,58.36,1270.6,6965.36,2684.57,12800.209961,1.3,12989204.661407,840740.0,0
2017-12-22,15898.0,15943.400391,11833.0,13831.799805,22197999616,46.377766890501256,1744.512988253419,1572.2230707462604,33.46165399351667,16213.491266434608,16960.950055928573,88076233160.0,100.0,18.121387032173832,58.47,1278.8,6959.96,2683.34,12797.44043,1.3,12965926.5168525,771823.75,1
2017-12-23,13948.700195,15603.200195,13828.799805,14699.200195,13086000128,50.0764697444348,1746.647802663889,1322.2422753782755,39.02140366329674,16011.585790243324,16926.735770214287,101162233288.0,62.0,28.598625014031615,58.47,1278.8,6959.96,2683.34,12797.44043,1.3,12942648.372298,702907.5,0
2017-12-24,14608.200195,14626.0,12747.700195,13925.799805,11572299776,46.96578775783177,1761.2801024736111,1049.624330228109,39.46371697485092,15733.480992210882,16817.4785855,89589933512.0,46.0,23.2269693336163,58.47,1278.8,6959.96,2683.34,12797.44043,1.3,13338376.829724375,633991.25,1
2017-12-25,13995.900391,14593.0,13448.900391,14026.599609,10664699904,47.42419118550046,1717.1957815112105,832.1142512389106,38.55295777230799,15505.896807782765,16609.607073214287,100254633416.0,41.0,36.5797242950066,58.59,1278.8,6959.96,2683.34,12797.44043,1.3,13734105.28715075,565075.0,1
2017-12-26,14036.599609,16461.199219,14028.900391,16099.799805,13454300160,55.87245941395328,1768.4389121175525,817.6010796178707,37.78417609890395,15585.083874078397,16515.635602785715,113708933576.0,41.0,31.18054737238304,59.97,1287.5,6936.25,2680.5,12808.900391,1.3,14129833.744577125,633537.75,0
2017-12-27,16163.5,16930.900391,15114.299805,15838.5,12487600128,54.67986789656707,1771.879031680584,776.0685410017522,43.79656305326253,15618.872690867944,16474.942801428573,101221333448.0,37.0,19.17182239878457,59.64,1291.4,6939.34,2682.62,12821.990234,1.3,14525562.2020035,702000.5,0
2017-12-28,15864.099609,15888.400391,13937.299805,14606.5,12336499712,49.333129905210285,1784.6805712748285,636.4055145532075,44.39493336510537,15483.889665418885,16335.121372857144,88884833736.0,38.0,18.809493847541436,59.84,1297.2,6950.16,2687.54,12853.089844,1.3,14688509.21388495,770463.25,1
2017-12-29,14695.799805,15279.0,14307.0,14656.200195,13025500160,49.54745675348561,1726.631959040912,523.6951189077299,37.63537325770061,15373.531069363033,16117.214216000002,101910333896.0,35.0,39.32640836319479,60.42,1309.3,6903.39,2673.61,12808.839844,1.3,14851456.2257664,838926.0,0
2017-12-30,14681.900391,14681.900391,12350.099609,12952.200195,14452599808,42.854138828551555,1769.8583035379893,293.489593898792,30.82746497584383,15050.686952781294,15649.699916285716,87457734088.0,34.0,21.117160095309373,60.42,1309.3,6903.39,2673.61,12808.839844,1.3,15014403.23764785,841895.0,1
