,accuracy,f1_score,precision,recall
bear_market_1,0.4235294117647059,0.49766975039062994,0.37506904353253245,0.85
bear_market_2,0.5722222222222222,0.3903064572719745,0.6223970473970473,0.3
bull_market_1,0.5273584905660378,0.579613487121972,0.6009612161647752,0.60625
bull_market_2,0.5457142857142856,0.6051365325369105,0.542938375727353,0.6962264150943396
